Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,58.85,76.93,77.02,75.59,75.96,1131400
2010-01-05,58.36,76.29,76.93,75.76,76.69,790100
2010-01-06,57.88,75.66,76.48,75.39,75.86,1248600
2010-01-07,57.55,75.23,75.92,74.81,75.68,1514400
2010-01-08,57.92,75.71,76.06,74.88,75.06,1244800
2010-01-11,58.98,77.1,77.29,76.11,76.48,1197600
2010-01-12,58.23,76.11,76.96,75.63,76.24,949100
2010-01-13,58.81,76.87,76.88,75.63,76.21,874600
2010-01-14,58.08,75.92,77.52,75.68,76.74,663400
2010-01-15,58.58,76.57,76.74,75.81,76.07,1542200
2010-01-19,58.44,76.39,76.82,75.85,76.73,1415100
2010-01-20,57.66,75.37,75.86,75.04,75.86,1315100
2010-01-21,56.52,73.88,76.14,73.83,75.25,1546800
2010-01-22,55.25,72.22,74.82,72.13,73.88,1953400
2010-01-25,56.8,74.25,74.88,73.16,73.16,1942000
2010-01-26,56.32,73.62,75.0,73.08,73.52,1482200
2010-01-27,55.81,72.95,74.24,71.91,73.62,1842200
2010-01-28,54.52,71.27,73.52,71.17,73.28,1456500
2010-01-29,53.76,70.27,71.78,70.22,71.37,2528100
2010-02-01,54.36,71.05,71.3,69.69,70.91,2507200
2010-02-02,54.22,70.88,71.82,70.31,71.09,1597300
2010-02-03,53.92,70.48,71.2,70.03,70.51,1322600
2010-02-04,52.15,68.17,70.27,68.14,69.86,1612400
2010-02-05,48.58,63.5,63.99,60.18,62.58,10094300
2010-02-08,48.37,63.23,64.93,62.92,63.56,3684300
2010-02-09,48.09,62.86,63.69,62.41,62.8,4046300
2010-02-10,48.28,63.11,63.92,62.06,63.92,4041300
2010-02-11,48.41,63.27,63.91,62.44,63.2,3649100
2010-02-12,48.5,63.4,64.02,61.98,62.6,3714400
2010-02-16,49.83,65.13,65.28,63.77,64.12,2036700
2010-02-17,49.67,64.92,66.6,64.6,65.2,3034300
2010-02-18,49.5,64.71,65.18,64.44,65.03,2204400
2010-02-19,49.28,64.42,64.75,63.91,64.66,2036200
2010-02-22,49.48,64.68,64.77,64.29,64.45,3554300
2010-02-23,49.59,64.82,65.3,64.44,64.58,3593800
2010-02-24,49.45,64.63,65.07,64.48,65.07,4476400
2010-02-25,48.82,63.81,64.13,63.2,64.05,2542800
2010-02-26,48.53,63.44,64.07,63.33,63.89,2203400
2010-03-01,48.94,63.98,64.02,62.94,63.64,2357900
2010-03-02,50.01,65.37,65.69,64.22,64.45,2641900
2010-03-03,50.47,65.98,66.31,65.24,65.86,2241300
2010-03-04,50.88,66.5,66.64,65.69,66.11,2690600
2010-03-05,52.02,67.99,68.03,66.6,66.9,2875000
2010-03-08,52.51,68.64,68.78,68.04,68.04,2971500
2010-03-09,52.53,68.67,69.03,68.06,68.31,2672500
2010-03-10,52.65,68.83,69.23,68.07,68.76,2353200
2010-03-11,52.84,69.07,69.07,67.84,68.43,2279500
2010-03-12,52.77,68.97,69.47,68.82,69.29,2073400
2010-03-15,52.45,68.57,69.15,68.19,68.95,2309300
